placeid,lat,lon,drogerie
ChIJ4xK753SdsUcR8iJMuc5o2TA,53.47673,9.70019,dm
ChIJhReqt3GXsUcRQTLUastEZik,53.379312,9.896366,dm
ChIJ5cUAfBaRsUcRQp369tGxABA,53.4313,9.97787,other
ChIJh4sgGc_dsUcRcCxmbpmF6WM,53.2475232,10.4077918,other
ChIJHQ4UWmXHsUcRDz8n7xWp2_g,53.1933392,10.0623713,other
ChIJLYs5mbzysUcRxEW-lVzdS-8,53.48927,10.18128,other
ChIJpXF_suMLsUcRIgRLVAahrHs,53.2745,9.50146,other
ChIJyZTD84vvsUcRIG4ZSHBA8Vw,53.43398,10.37201,other
ChIJGw6a4j8GsUcRhhVn7NRTwsk,53.1659,9.47384,other
ChIJjxTfGM_dsUcRb4TnluFM7VQ,53.24747,10.40772,other
ChIJfQ5TMgkEsUcRE5rw_kjiqW0,53.110648,9.405562,dm
ChIJ7U6TSy2wsUcREcCg9l03edc,53.1174226,9.795628,other
ChIJXcUDsEAjrkcRW7WIim6NGik,53.1863994,10.7427226,other
ChIJmQ9EjzmerkcRoGvTSeLCXws,53.46146,12.03063,other
ChIJ_3V02_gCrEcRNScNU5QHr8Y,53.474741,12.4256917,other
ChIJ94ZaNIsdrEcRurUr6fdlTpc,53.4580082,12.2649639,other
ChIJUSAZc-3Sq0cRP6zi4emtUXM,53.4614581,13.5793499,other
ChIJ92beNxidqUcRFEo_jGArS34,53.1189331,13.5026812,other
ChIJQWGPN6wnqkcRWoJQQQYkXpY,53.3166047,13.8599648,other
ChIJwWMsDqt7qUcRKf8YdImz5rY,53.21044,13.31454,other
ChIJNcHZxWkJqkcRadYIzjdb2dY,53.442896,14.551155,other
ChIJASNRWiuLqUcR2MKyhQQwcd4,53.2104981,14.0065629,other
ChIJSSJ2xfiQt0cRZQu6qLCuUnc,52.694755,7.295239,dm
ChIJFYkTYP-Qt0cRey8socDuBnM,52.693102,7.291173,other
ChIJHyyHv6eRt0cRUmi6Du5E_Dk,52.6928369,7.2701548,other
ChIJt1zOlkFIt0cR9y82EBfucvQ,52.730103,8.288982,dm
ChIJV21ltcnksEcRN72aTvzKtMM,52.922349,9.2317485,dm
ChIJHYdOh6PjsEcRRDnFFkA1xmg,52.97579,9.19249,other
ChIJyQKTNauNsEcRwGzj0jM2Iec,52.641232,9.206794,dm
ChIJ36PbfQvPsEcRYTb9yWSr-h8,52.84938,8.72254,other
ChIJabyggYPZsEcRa-lZ3scHZYI,52.98298,8.84858,other
ChIJXyH53tO4sEcRlKWc5gVPCCM,52.682521,8.8094174,other
ChIJvyDbdUJIt0cR6Ah7l41t2oY,52.7280364,8.2861179,other
ChIJnRxYocjksEcR8VRlr1RE_CA,52.91998,9.22841,other
ChIJR2sFUnA7t0cRTdirp9-vah0,52.89997,8.21216,other
ChIJzy7zP_pssEcRnp-SWSFdCH4,52.52415,9.75552,other
ChIJG_0JA2DLsUcRB5yTAtP4UNA,52.9841656,10.0892444,other
ChIJJ3LwiM9QsEcRPx3o0M6xm8g,52.861352,9.587799,dm
ChIJ2ZmizWLgZEERWReVjeyh_Tw,52.639158,10.076203,dm
ChIJ-VLugq4isEcRXrm5wmFRFlM,52.624033,10.0820589,other
ChIJKSD7hnVQsEcRrxpoWDoUK-c,52.82632,9.64481,other
ChIJK7fkkH8msEcR9DMGiWSqPzQ,52.7349251,10.235027,other
ChIJATyzp6BgsEcR_ffuoTd0QNU,52.66631,9.48256,other
ChIJSx46hjZdsEcRlxDDCvm-QG0,52.679927,9.618642,other
ChIJi5GPUaEZsEcReThUHEjuc_Y,52.55524,10.10156,other
ChIJa8PSWkHmZEERVMkt9esU_LY,52.7284591,10.7399351,other
ChIJKRTwNYErrkcR0r-52XDs8fc,52.970308,10.5564324,dm
ChIJXRwZxX8srkcRak1uuHaI3yw,52.9649784,10.5618669,other
ChIJwUMZ7X8srkcRnKl5wtqaupg,52.9649784,10.5618669,other
ChIJISnozZsar0cR11w2p7XjLeg,52.6616331,11.5555324,other
ChIJo9Ucml47r0cRsInxgmoUegQ,52.605284,11.861374,dm
ChIJM97drWM7r0cRh83A89TH8-k,52.6052604,11.861315,dm
ChIJ8_k-yb4wr0cRyg06--Du6LM,52.54176,11.97281,other
ChIJ1UQ93CndrkcRhe3wIISqp3M,52.9551634,11.9464927,other
ChIJL6IPxZ0hZUER2MdhEDRhToM,52.5432541,11.9747649,other
ChIJPc2U6dVTqEcRFsJMLcOmkwo,52.550064,13.353203,other
ChIJXUMUyhhOqEcRuO0lps1qZ_0,52.5220476,13.415341,dm
ChIJFX6J-WdUqEcRnJfDlqMrz0k,52.5897632,13.2852703,dm
ChIJaT4QouBRqEcRyoOtrYWPnT0,52.522606,13.403506,dm
ChIJp90sZWP4qEcRhCbIW0TNtls,52.524883,13.141956,dm
ChIJ1YmcEUhWqEcRUqo5lJBadrg,52.5337711,13.1974486,dm
ChIJdayMDQtRqEcRA2qB2KyvQME,52.527706,13.329555,dm
ChIJGVAAgvH_qEcRSRfWchS_bE0,52.637132,13.204563,dm
ChIJW11fK0AHqUcRdR4uu-QnGU0,52.7549998,13.2472775,dm
ChIJMbO3lgxTqEcRT_vA8Ub2S98,52.598923,13.355607,dm
ChIJEd_Rah9WqEcRo4iaPg9XcvI,52.548286,13.178312,dm
ChIJYfCMXOFNqEcRxnkFS92qVj0,52.54287,13.441695,dm
ChIJIbj6kyFSqEcRzUA7dWB22dY,52.549735,13.387574,dm
ChIJb2IR4NJLqEcRO7-6LoPQddU,52.529958,13.595382,dm
ChIJuSCUyDpMqEcRmafK7PfrmxE,52.543362,13.498329,dm
ChIJ_yhicgtRqEcRWJPBh4_Txps,52.52653,13.341586,dm
ChIJFasUWuxRqEcRVZnBjQUPjfo,52.531191,13.385625,dm
ChIJmedYu21SqEcRJ2lVFm3iZzk,52.572066,13.412659,dm
ChIJAxkCfoxWqEcRU5x1juHQTLw,52.542774,13.239975,dm
ChIJpUv6BTVNqEcRnumSm7htLQI,52.6180247,13.4888576,other
ChIJgdaQmptUqEcRVXlmubUFhTY,52.6107781,13.3181949,dm
